"Preseason","Week 1
Sep 7","Week 2
Sep 12","Week 3
Sep 19","Week 4
Sep 26","Week 5
Oct 3","Week 6
Oct 10","Week 7
Oct 17","Week 8
Oct 24","Week 9
Oct 31","Week 10
Nov 7","Week 11
Nov 14","Week 12
Nov 21","Week 13
Nov 28","Week 14
Dec 5","Final"
Alabama (54),Alabama (1–0) (47),Alabama (2–0) (52),Alabama (3–0) (53),Alabama (4–0) (57),Alabama (5–0) (58),Ohio State (6–0) (34),Oregon (6–0) (39),Oregon (7–0) (44),Oregon (8–0) (49),Oregon (9–0) (49),Oregon (10–0) (38),Oregon (10–0) (37),Oregon (11–0) (36),Auburn (13–0) (36),Auburn (14–0) (56)
Ohio State (3),Ohio State (1–0) (4),Ohio State (2–0) (5),Ohio State (3–0) (5),Ohio State (4–0) (2),Ohio State (5–0) (1),Oregon (6–0) (15),Boise State (6–0) (15),Boise State (6–0) (11),Boise State (7–0) (7),Auburn (10–0) (2),Auburn (11–0) (12),Auburn (11–0) (13),Auburn (12–0) (23),Oregon (12–0) (23),TCU (13–0) (3)
Boise State (1),Boise State (1–0) (8),Boise State (1–0) (1),Boise State (2–0) (1),Boise State (3–0) (1),Oregon (5–0),Boise State (5–0) (8),Oklahoma (6–0) (3),Auburn (8–0) (3),Auburn (9–0) (2),TCU (10–0) (2),Boise State (9–0) (9),Boise State (10–0) (10),TCU (12–0) (1),TCU (12–0) (1),Oregon (12–1)
Florida,TCU (1–0),TCU (2–0),TCU (3–0),Oregon (4–0),Boise State (4–0) (1),TCU (6–0) (1),TCU (7–0) (3),TCU (8–0) (2),TCU (9–0) (2),Boise State (8–0) (7),TCU (11–0) (1),TCU (11–0),Wisconsin (11–1),Wisconsin (11–1),Stanford (12–1)
Texas (1),Texas (1–0) (1),Oregon (2–0),Oregon (3–0),TCU (4–0),TCU (5–0),Nebraska (5–0),Auburn (7–0),Michigan State (8–0),Alabama (7–1),LSU (8–1),LSU (9–1),Wisconsin (10–1),Stanford (11–1),Stanford (11–1),Ohio State (12–1)
TCU,Nebraska (1–0),Texas (2–0) (1),Nebraska (3–0),Nebraska (4–0),Oklahoma (5–0),Oklahoma (5–0) (2),LSU (7–0),Alabama (7–1),Utah (8–0),Wisconsin (8–1),Wisconsin (9–1),LSU (10–1),Ohio State (11–1),Ohio State (11–1),Oklahoma (12–2)
Oklahoma (1),Oregon (1–0),Oklahoma (2–0),Texas (3–0) (1),Florida (4–0),Nebraska (4–0),Auburn (6–0),Alabama (6–1),Missouri (7–0),Wisconsin (7–1),Stanford (8–1),Stanford (9–1),Stanford (10–1),Michigan State (11–1),Michigan State (11–1),Wisconsin (11–2)
Nebraska,Florida (1–0),Nebraska (2–0),Oklahoma (3–0),Oklahoma (4–0),Auburn (5–0),Alabama (5–1),Michigan State (7–0),Utah (7–0),Ohio State (8–1),Ohio State (8–1),Ohio State (9–1),Ohio State (10–1),Arkansas (10–2),Arkansas (10–2),LSU (11–2)
Iowa,Iowa (1–0),Iowa (2–0),Florida (3–0),Stanford (4–0),Arizona (4–0),LSU (6–0),Utah (6–0),Wisconsin (7–1),Nebraska (7–1),Nebraska (8–1),Nebraska (9–1),Alabama (9–2),Boise State (10–1),Oklahoma (11–2),Boise State (12–1)
Virginia Tech,Oklahoma (1–0),Florida (2–0),Arkansas (3–0),Auburn (4–0),Utah (4–0),South Carolina (4–1),Wisconsin (6–1),Ohio State (7–1),Stanford (7–1),Michigan State (9–1),Alabama (8–2),Oklahoma State (10–1),Oklahoma (10–2),Boise State (11–1),Alabama (10–3)
